sam-url,opportunity_id,filename,filetype,local_path,detected_doc_type,summary,model,run_id
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_3.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_3.pdf,Performance Work Statement (PWS),"### Document Type
Performance Work Statement (PWS)

### Objective
The primary objective is to provide expert services supporting the U.S. DOT FAA Configuration Logistics Maintenance Resource Solutions (CLMRS) SCM-ERP system, which manages critical NAS logistics and inventory ($735M value, 200k parts annually).

### Scope of Work
The contractor shall provide expert services for the COTS IFS Software (currently upgrading to vCloud), covering investment analysis, enhancement design, implementation, sustainment, and program management via Task Orders (TOs).

*   **Key Constraint:** Deliverables must support IFS optimization *without* source code modification (no customizations).
*   **Core Activities:** Providing IFS expertise (technical/functional), Business Process Reengineering (BPR) advice, installation/configuration support, training, and financial automation support within IFS.

### Period & Place of Performance
*   **Duration:** One (1) base year plus four (4) option years (Total 5 years).
*   **Location:** Primary location expected at MMAC, Oklahoma City, OK, with potential transition to fully remote/hybrid.
*   **Hours:** Normal hours are 6:00 AM – 6:00 PM, M-F. Overtime requires prior authorization.

### Performance Standards / Metrics
*   **Security:** Strict adherence to FAA 1370.121B (Information Security). Critical vulnerabilities must be remediated within 7 days. Compliance with Section 508 accessibility standards is mandatory.
*   **Quality:** Establish a Quality Management system detailed in the Program Management Plan (PMP).

### Key Deliverables & Reviews
*   **Program Management Plan (PMP):** Due 30 days After Contract Award (ACA).
*   **Monthly Project Activity Reports:** Due 30 days ACA and monthly thereafter, detailing cost, schedule, risks, and an updated MS Project Gantt Chart.
*   **Reviews:** Quarterly Program Management Reviews (PMRs) and Business Management Reviews (BMRs) starting 90 days ACA.

### Personnel Requirements
Personnel must possess continuity of technical and business process expertise in IFS. Specific roles (e.g., Senior Product Specialist, Developer, Senior Financial Analyst) require specific degrees and significant experience (often 3+ years specifically in IFS ERP). Developers must be CONUS based. Strict adherence to FAA conduct codes and conflict of interest rules applies.",gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Attachment 0001-SCOPE OF WORK.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Attachment 0001-SCOPE OF WORK.pdf,Statement of Work (SOW) / Performance Work Statement (PWS),"### Document Type
Statement of Work (SOW) / Performance Work Statement (PWS)

### Objective
To provide Calibration, Preventive Maintenance (PM), and Repair services for four (4) Tinius Olsen testing machines located at the RIA-JMTC Materials Science Laboratory in Rock Island, IL.

### Scope of Work
*   **Equipment Covered:** Two (2) Charpy Impact Testers (Metal Impact 84, Metal Impact 74) and two (2) Hardness Testers (FH-10 and FH-11).
*   **Services Required:** One annual, scheduled, on-site visit for Calibration and PM services for all four machines.
*   **Calibration Standard:** Calibrations must be conducted by an ISO/IEC 17025 Accredited Activity (or equivalent) to ISO standards. Necessary calibration standards are included.
*   **Personnel:** All calibration, PM, or repair work must be performed by factory-certified representatives.

### Period & Place of Performance
*   **Period of Performance:** One Year.
*   **Location:** RIA-JMTC Materials Science Division, Bldg. 210, Rock Island, IL.
*   **On-Site Visit Timing:** Normal business days, Monday to Friday (excluding holidays), 7 am to 3 pm, unless otherwise agreed upon.

### Support and Warranty
*   **Emergency Support:** Unlimited emergency on-site support with a response time of within 2 business days. Parts, time, and travel are included.
*   **Phone Support:** Unlimited phone support during normal business hours (response within 2 business hours).
*   **Warranty:** Services and installed parts carry a standard commercial warranty.
*   **Exclusions:** Purchase of “Wear Parts” (e.g., anvils, strikers) is *not* covered, though installation of purchased wear parts is covered. Damage from misuse, fire, flood, or unauthorized repairs is excluded.

### Reporting and Administration
*   **Service Reports:** A detailed Service Report must be forwarded to the COR/Performance Certifier within 7 business days of work completion.
*   **Invoicing:** Must be processed via iRAPT (WAWF).
*   **Manpower Reporting:** Contractor must report all labor hours via the Contractor Manpower Reporting Application (CMR) website (https://cmra.army.mil) by October 31st annually.

### Security and Access Requirements
*   Contractor personnel accessing the installation must complete AT Level I Training within 60 days.
*   Personnel requiring access must undergo background checks and comply with PIV/CAC requirements.
*   Employees must complete local iWATCH (See Something, Say Something) training within 60 days of contract start.
*   **IT Security:** Vendor devices cannot connect to the RIA-JMTC network. Software must run from CDs/DVDs; USB flash media is prohibited. IT support staff will escort technicians accessing workstations.",gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Sources Sought Tinius Olsen Testing Equipment_1.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Sources Sought Tinius Olsen Testing Equipment_1.pdf,Other / Unclassified (Sources Sought Notice),"### Document Type
Other / Unclassified (Sources Sought Notice)

### Description
This document is a Sources Sought Notice, not a solicitation, issued by the U.S. Army Contracting Command-Rock Island (ACC-RI). Its purpose is to gather information on potential qualified sources capable of providing Instrument Calibration and Preventative Maintenance Services/Repair for four (4) Tinius Olsen testing instruments located at the RIA-JMTC Materials Science Lab at Rock Island Arsenal.

### Relevance to Bidders
This notice is for planning purposes only and does not constitute a Request for Quote or an obligation to award a contract. ACC-RI will use the submitted information to develop its finalized acquisition strategy.

### Required Capability Statement Information
Vendors must submit a capability statement addressing the following:
*   **Administrative Data:** Vendor’s Size Standard, DUNS Number, EUI, and Cage Code.
*   **Accreditation:** Accreditation in ISO/IEC 17025 or equivalent ISO standards.
*   **Personnel Qualifications:** Assurance that work will be performed by factory certified representatives.
*   **Support:** Provision of unlimited phone support and unlimited emergency on-site support within 2 business days.
*   **Reference:** Capability statements must address performance in accordance with Attachment 0001 – DRAFT Statement of Work (SOW).

### Submission Details
*   **Submission Deadline:** 12:00 P.M. CST on November 11, 2025.
*   **Submission Method:** Email to angel.j.traman.civ@army.mil.

### Key Codes
*   **Product Service Code:** J049
*   **NAICS Code:** 334519",gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Attachment 0001-SCOPE OF WORK_1.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Attachment 0001-SCOPE OF WORK_1.pdf,Other / Unclassified (Sources Sought Notice),"### Document Type
Other / Unclassified (Sources Sought Notice)

### Description
This document is a Sources Sought Notice, not an official solicitation. Its purpose is to gather information from potential qualified sources regarding the capability to provide Instrument Calibration and Preventative Maintenance Services/Repair for four (4) Tinius Olsen machines located at the RIA-JMTC Materials Science Lab at Rock Island Arsenal.

### Relevance to Bidders
This notice is used by ACC-RI for planning future acquisition strategies. Vendors interested in this requirement must submit a capability statement by **12:00 P.M. CST on November 11, 2025**, via email to angel.j.traman.civ@army.mil.

### Required Capability Statement Information
Capability statements must address the following areas, referencing the DRAFT Statement of Work (Attachment 0001):
*   Vendor Size Standard, DUNS Number, EUI, and Cage Code.
*   Accreditation status (ISO/IEC 17025 or equivalent).
*   Confirmation that personnel performing the work will be factory certified representatives.
*   Ability to provide unlimited phone support.
*   Ability to provide unlimited emergency on-site support within two (2) business days.",gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Sources Sought Tinius Olsen Testing Equipment.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Sources Sought Tinius Olsen Testing Equipment.pdf,Statement of Work (SOW) / Performance Work Statement (PWS),"### Document Type
Statement of Work (SOW) / Performance Work Statement (PWS)

### Objective
To procure calibration, preventive maintenance (PM), and repair services for four specific Tinius Olsen testing equipment units located at the RIA-JMTC Materials Science Laboratory in Rock Island, IL.

### Scope of Work
*   **Equipment Covered:** (2) Charpy Impact Testers (Metal Impact 84, Metal Impact 74), (1) FH-11 Hardness Tester, and (1) FH-10 Hardness Tester. Specific serial numbers and capacities are listed.
*   **Services Required:** One annual, scheduled, on-site visit for Calibration and PM services for all four machines.
*   **Calibration Standard:** Calibrations must be conducted by an ISO/IEC: 17025 Accredited Activity (or equivalent) to relevant ISO standards.
*   **Repair/Support:** Unlimited emergency on-site support (response within 2 business days) with parts, time, and travel included (referred to as “Contractor Factory Service/Extended Warranty”).

### Period & Place of Performance
*   **Period of Performance:** One Year.
*   **Location:** RIA-JMTC Materials Science Division, Bldg. 210, Rock Island, IL.
*   **Service Timing:** Scheduled services occur during normal business days (Mon-Fri, 7 am to 3 pm), unless otherwise agreed.

### Special Requirements
*   **Personnel Certification:** All calibration, PM, or repair work must be performed by factory certified representatives.
*   **Support:** Unlimited phone support required (response within 2 business hours).
*   **Exclusions:** Purchase of “Wear Parts” (anvils, strikers, etc.) is excluded, though installation of purchased wear parts is covered. Damage from fire, explosion, misuse, or unauthorized repairs is excluded.
*   **Reporting:** A Service Report must be forwarded to the COR within 7 business days of work completion.
*   **Administrative:** Invoicing must be in iRAPT (WAWF). Contractors must comply with Contractor Manpower Reporting (CMR) requirements via https://cmra.army.mil.
*   **Security/Access:** Contractor personnel accessing the installation are subject to OPSEC requirements, including AT Level I Training, background checks (potentially leading to CAC issuance), and iWATCH training.",gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_1.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_1.pdf,,,gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_2.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_2.pdf,,,gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/bbb459c5726348fda8e970e2b2856543/view,bbb459c5726348fda8e970e2b2856543,36C24926Q0031 0002_1.pdf,pdf,bbb459c5726348fda8e970e2b2856543/36C24926Q0031 0002_1.pdf,Amendment / Modification,"### Document Type
Amendment / Modification

### Summary of Changes
This document is Modification 0002 to Solicitation 36C24926Q0031. Its primary purpose is to provide answers to vendor questions regarding the solicitation.

### Submission Impact
*   **Receipt Date Extended:** The hour and date for receipt of Offers is **EXTENDED to: 11-05-2025 10:00 AM CST**.
*   **Submission Contact:** Quotes are due by 10:00 AM CT November 5, 2025, to Elyse.McVey@va.gov.
*   **Period of Performance:** The start date is dependent on the contract award date, following the 11/05/2025 due date.

### Major Clarifications (Q&A Summary)
*   **Total Extinguishers:** 687 total extinguishers are present at the facility.
*   **Servicing vs. Swapping:** Servicing existing extinguishers is the first option; swapping for new extinguishers is allowed if servicing is not possible.
*   **Hydrostatic Testing:** Testing can be performed by a subcontractor, even though the SOW requires the contractor to have a facility.
*   **Inspections:** Annual inspection is **still required** in addition to the 11 monthly inspections.
*   **Vehicle Extinguishers:** Approximately 90 extinguishers are on vehicles, which will be inspected at two specific sites (Nonconnah HPBC and Phelan).
*   **Ansul Systems:** Quarterly hood cleaning requires cleaning the hood, filters, traps, etc., for **8 Ansul systems**.
*   **Pricing:** The price for quarterly Ansul cleaning should be included in one CLIN, billed monthly in arrears.",gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT.pdf,,,gemini-flash-lite-latest,20251105-210835
https://sam.gov/workspace/contract/opp/bbb459c5726348fda8e970e2b2856543/view,bbb459c5726348fda8e970e2b2856543,36C24926Q0031_1.pdf,pdf,bbb459c5726348fda8e970e2b2856543/36C24926Q0031_1.pdf,Amendment / Modification,"### Document Type
Amendment / Modification

### Summary of Changes
This document is Modification Number 0001 to Solicitation 36C24926Q0031. Its primary purpose is to provide answers to vendor questions (Q&A) and extend the deadline for offer receipt.

### Key Updates and Deadlines
*   **Offer Receipt Date Extended:** The deadline for receipt of offers is extended to **November 5, 2025, at 10:00 AM CST**.
*   **Submission Contact:** Quotes are due to Elyse.McVey@va.gov.
*   **Period of Performance:** The start date is dependent on the contract award date, which will be as soon after 11/5/2025 as possible and agreed upon.

### Major Clarifications from Q&A
*   **Total Extinguishers:** There are **687** total fire extinguishers requiring monthly and annual inspection/maintenance.
*   **Servicing vs. Swapping:** Servicing existing extinguishers is the first option; however, swapping for new extinguishers is allowed if required.
*   **Hydrostatic Testing:** Subcontracting hydrostatic testing is **permitted**.
*   **Inspections:** **Annual inspection is required** in addition to the 11 monthly inspections specified.
*   **Vehicle Extinguishers:** Approximately **90** extinguishers are on vehicles, located at Nonconnah HPBC and Phelan Avenue sites.
*   **Ansul Systems:** There are **8** Ansul systems requiring quarterly hood cleaning (inspection, cleaning of hood, filters, traps, etc., and inspection of the system).
*   **Pricing:** The cost for the quarterly Ansul cleaning should be included in the main CLIN (CLIN 0001) and billed monthly in arrears.
*   **Locations:** The contract covers 5 buildings plus the Fisher House, including the main VAMC, Nonconnah HPBC, and Phelan Avenue VA Clinic.

### Impact on Solicitation
All terms and conditions of the original solicitation remain unchanged except for the deadline extension and the clarifications provided in Item 14.",gemini-flash-lite-latest,20251105-210835
