sam-url,opportunity_id,filename,filetype,local_path,detected_doc_type,summary,model,run_id
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT.pdf,,,gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_2.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_2.pdf,,,gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_1.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_1.pdf,,,gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Attachment 0001-SCOPE OF WORK.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Attachment 0001-SCOPE OF WORK.pdf,Statement of Work (SOW) / Performance Work Statement (PWS),"Detected Document Type: Statement of Work (SOW) / Performance Work Statement (PWS)

**Objective:**
The objective is to procure Calibration and Preventive Maintenance (PM) services, including repair support, for four specific Tinius Olsen testing machines located at the RIA-JMTC Materials Science Laboratory in Rock Island, IL, for a period of one year.

**Tasks / Deliverables:**
*   Provide Calibration and PM services for four specific Tinius Olsen machines:
    *   Two Charpy Impact Testers (Metal Impact 84, Ser. No. 164955; Metal Impact 74, Ser. No. 127945).
    *   One FH-10 Hardness Tester (Ser. No. FH10001800275).
    *   One FH-11 Hardness Tester (Ser. No. FH1102140100).
*   Conduct one annual, scheduled, on-site visit for Calibration and PM services for all four machines.
*   Provide unlimited phone support during normal business hours (response within 2 business hours).
*   Provide unlimited emergency on-site support (response on-site within 2 business days), including parts and all time/travel costs.
*   Upon completion of work, forward a Service Report within 7 business days to the COR/Performance Certifier.

**Performance Standards:**
*   Calibrations must be conducted by an ISO/IEC: 17025 Accredited Activity or equivalent, adhering to ISO standards for both Impact Testers and Hardness Testers.
*   All calibration, PM, or Repair work must be performed by factory-certified representatives.
*   Services and installed parts must carry a standard commercial warranty.
*   Emergency response must be on-site within 2 business days.

**Schedule or Period of Performance:**
*   Period of Performance: One Year.
*   Scheduled calibration and PM services will occur during normal business days (Monday to Friday, excluding holidays), 7 am to 3 pm, unless otherwise agreed upon.

**Place of Performance:**
*   RIA-JMTC Materials Science Division, Bldg. 210, Rock Island, IL.

**Special Requirements:**
*   **Accreditation:** Contractor must be accredited to ISO/IEC 17025 or equivalent.
*   **Exclusions:** Purchase of ""Wear Parts"" (e.g., anvils, strikers) is *not* covered, though installation of purchased wear parts is covered. Damage resulting from fire, explosion, misuse, unauthorized repair, or contamination is excluded.
*   **Reporting:** Invoicing must be in iRAPT (WAWF). Contractor Manpower Reporting (CMR) is required via https://cmra.army.mil.
*   **Security/Access:** Contractor personnel are subject to RIA-JMTC OPSEC requirements, including AT Level I Training, background checks for installation access, and iWATCH training.
*   **IT Security:** Technicians must be escorted by RIA-JMTC IT Support Staff. USB Flash media is prohibited; programs must run from CDs or DVDs. Vendor devices cannot connect to the RIA-JMTC network or operational equipment.",gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Sources Sought Tinius Olsen Testing Equipment_1.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Sources Sought Tinius Olsen Testing Equipment_1.pdf,Other (Sources Sought Notice),"Detected Document Type: Other (Sources Sought Notice)

**Document Description:**
This document is a Sources Sought Notice issued by the U.S. Army Contracting Command-Rock Island (ACC-RI) to identify potential qualified sources for future procurement actions. It is **not** a solicitation, Request for Quote (RFQ), or an obligation to award a contract.

**Main Content:**
The purpose is to gather market information for developing an acquisition strategy for Instrument Calibration and Preventative Maintenance Services/Repair for four (4) Tinius Olsen testing machines located at the RIA-JMTC Materials Science Lab at Rock Island Arsenal.

**Relevance to Offerors:**
Interested vendors must submit a capability statement by the deadline to inform the Government's future acquisition approach.

**Key Information for Capability Statement Submission:**

*   **Product Service Code (PSC):** J049
*   **NAICS Code:** 334519
*   **Submission Deadline:** 12:00 P.M. CST on November 11, 2025
*   **Submission Method:** Email to angel.j.traman.civ@army.mil

**Required Capability Statement Content (Based on Draft SOW Attachment 0001):**

1.  Vendor’s Size Standard, DUNS Number, EUI, and Cage Code.
2.  Accreditation status (must be accredited in ISO/IEC 17025 or equivalent ISO standards).
3.  Confirmation that qualified personnel will be factory certified representatives.
4.  Confirmation that personnel provide unlimited phone support.
5.  Confirmation that personnel can provide unlimited emergency on-site support within 2 business days.",gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Attachment 0001-SCOPE OF WORK_1.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Attachment 0001-SCOPE OF WORK_1.pdf,Other (Sources Sought Notice),"Detected Document Type: Other (Sources Sought Notice)

**Document Description:**
This document is a Sources Sought Notice, not a formal solicitation, issued by the U.S. Army Contracting Command-Rock Island (ACC-RI) to gauge interest and capability for future procurement.

**Main Content:**
The government is seeking information on potential sources capable of providing Instrument Calibration and Preventative Maintenance Services/Repair for four (4) Tinius Olsen machines located at the RIA-JMTC Materials Science Lab at Rock Island Arsenal.

**Relevance to Opportunity:**
This notice is used for planning purposes to develop the final acquisition strategy. Interested vendors must submit capability statements to inform the future solicitation.

**Key Information for Potential Sources:**

*   **Requirement Focus:** Calibration, Preventative Maintenance, and Repair services for four (4) Tinius Olsen instruments.
*   **NAICS Code:** 334519
*   **Product Service Code:** J049
*   **Submission Deadline:** 12:00 P.M. CST on November 11, 2025.
*   **Submission Email:** angel.j.traman.civ@army.mil

**Required Capability Statement Content:**
Vendors must provide a capability statement addressing the following points, supported by documentation referencing the DRAFT Statement of Work (Attachment 0001):

1.  Vendor’s Size Standard, DUNS Number, EUI, and Cage Code.
2.  Accreditation in ISO/IEC 17025 or equivalent ISO standards.
3.  Assurance that work will be performed by factory-certified representatives.
4.  Commitment to provide unlimited phone support.
5.  Commitment to provide unlimited emergency on-site support within 2 business days.",gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/05f299e871dc4822a797387ff9d1c1d2/view,05f299e871dc4822a797387ff9d1c1d2,Sources Sought Tinius Olsen Testing Equipment.pdf,pdf,05f299e871dc4822a797387ff9d1c1d2/Sources Sought Tinius Olsen Testing Equipment.pdf,Statement of Work (SOW) / Performance Work Statement (PWS),"Detected Document Type: Statement of Work (SOW) / Performance Work Statement (PWS)

**Objective:**
To provide Calibration, Preventive Maintenance (PM), and Repair Services for four (4) Tinius Olsen Testing Equipment units located at the RIA-JMTC Materials Science Laboratory in Rock Island, IL, for a period of one year.

**Tasks / Deliverables:**
*   **Equipment Serviced:**
    *   Two (2) Charpy Impact Testers (Metal Impact 84, Ser. No. 164955, 300 ft-lb; Metal Impact 74, Ser. No. 127945, 264 ft-lb).
    *   One (1) FH-10 Hardness Tester (Ser. No. FH10001800275, Load Cell: 200gf – 1000kgf).
    *   One (1) FH-11 Hardness Tester (Ser. No. FH1102140100, Load Cell: 10kgf – 3000kgf).
*   **Scheduled Service:** One annual, scheduled, on-site visit for Calibration and PM services for all four machines.
*   **Calibration:** Must be conducted by an ISO/IEC: 17025 Accredited Activity (or equivalent) to standard ISO standards. Necessary calibration standards are included.
*   **Preventive Maintenance (PM):** Routine maintenance on all four testers.
*   **Support:** Unlimited phone support (2-hour response) and unlimited emergency on-site support (2-business day response), including parts, time, and travel at no extra charge (referred to as ""Contractor Factory Service/Extended Warranty"").
*   **Reporting:** A Service Report must be forwarded to the COR/Performance Certifier within 7 business days of work completion.
*   **Invoicing:** Must be processed via iRAPT (WAWF).
*   **Manpower Reporting:** Contractor must report all labor hours via the Contractor Manpower Reporting (CMR) system at https://cmra.army.mil.

**Performance Standards:**
*   Services and installed parts must carry a standard commercial warranty and conform to industrial standards.
*   All calibration, PM, or Repair work must be performed by factory certified representatives.
*   Scheduled services occur during normal business days (Mon-Fri, 7 am to 3 pm) unless otherwise agreed upon.

**Schedule or Period of Performance:**
*   Period of Performance: One Year.

**Place of Performance:**
*   RIA-JMTC Materials Science Division, Bldg. 210, Rock Island, IL.

**Special Requirements:**
*   **Exclusions:** Purchase of ""Wear Parts"" (e.g., anvils, strikers) is *not* covered, though installation of purchased wear parts *is* covered. Damage from fire, explosion, misuse, unauthorized repair, or contamination is excluded.
*   **Security/Access:** Contractor personnel are subject to RIA-JMTC OPSEC Requirements, including AT Level I Training (within 60 days of start) and background checks for installation access (potentially requiring a favorable NACI for CAC issuance).
*   **IT Security:** Technicians must be escorted by RIA-JMTC IT Support Staff. USB Flash media/drives are prohibited. Vendor devices cannot connect to the RIA-JMTC network or operational equipment. Software must run from CDs or DVDs.",gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/f996796de3364c118073ba8662ca1efa/view,f996796de3364c118073ba8662ca1efa,PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_3.pdf,pdf,f996796de3364c118073ba8662ca1efa/PWS -- CLMRS SCM-ERP Services Acqusition 2025 -- DRAFT_3.pdf,Statement of Work (SOW) / Performance Work Statement (PWS),"Detected Document Type: Statement of Work (SOW) / Performance Work Statement (PWS)

### Objective
The objective of this Performance Work Statement (PWS) is to procure expert services for the U.S. DOT FAA Configuration Logistics Maintenance Resource Solutions (CLMRS) SCM-ERP Solution. The services must support the existing IFS ERP system (currently upgrading from IFS Apps 10 to IFS vCloud) to maintain data integrity for NAS logistics and inventory management ($735M value, 200k parts annually).

### Tasks / Deliverables
The contractor shall provide expert services across the following areas via Task Orders (TOs):
*   **IFS Optimization:** Deliver outcomes supporting IFS optimization *without* source code modification (no customizations).
*   **Program Management:** Develop and maintain a Program Management Plan (PMP) and provide active participation in all reviews and reporting.
*   **Software Implementation Support:** Provide technical and functional IFS expertise, advise on installation/configuration, training, custom development advice, and support across all implementation phases (prototypes, testing, go-live, sustainment).
*   **Financial Support:** Provide IFS financial automation support, process improvement, and manage posting controls within IFS.
*   **Deliverables:** Program Management Plan (PMP) due 30 days After Contract Award (ACA). Monthly Project Activity Reports required, including cost/schedule status and an updated MS Project Gantt Chart Work Plan.

### Performance Standards
*   **Quality Management:** Establish a quality system described in the PMP, subject to frequent verification via stakeholder interviews by FAA PMs.
*   **Vulnerability Remediation:** Adhere to FAA 1370.121B (Information Security). Critical vulnerabilities must be remediated within 7 days.
*   **Accessibility:** Comply with Section 508 accessibility standards (36 CFR Part 1194).
*   **Flexibility:** Must demonstrate flexibility for rapid response to high-priority Task Orders.

### Schedule or Period of Performance
*   **Period of Performance:** One (1) base year plus four (4) option years (total 5 years).
*   **Reviews:** Quarterly Program Management Reviews (PMRs) and Business Management Reviews (BMRs) required, starting 90 days ACA.
*   **Reporting:** Monthly Project Activity Reports due 30 days ACA and monthly thereafter.

### Place of Performance
*   Primary location expected at MMAC, Oklahoma City, OK, with potential transition to fully remote/hybrid work.
*   Normal hours are 6:00 AM – 6:00 PM, Monday through Friday.

### Special Requirements
*   **Personnel:** Must provide continuity of technical and business process expertise on IFS. Specific roles (e.g., Senior Product Specialist, Developer) require significant prior experience with IFS ERP. Developers must be CONUS based.
*   **Security & Compliance:** Adherence to FAA security protocols, including facility access, screenings, and data access. Personnel may require Non-Disclosure Agreements (NDAs).
*   **Government Property:** Contractor is responsible for safeguarding issued property, including keys and ID cards; duplication is prohibited.
*   **Travel:** Required as needed, subject to advanced authorization from the COR/CO, with reimbursement adhering to GSA/FAA Travel Policy rates.",gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/bbb459c5726348fda8e970e2b2856543/view,bbb459c5726348fda8e970e2b2856543,36C24926Q0031 0002_1.pdf,pdf,bbb459c5726348fda8e970e2b2856543/36C24926Q0031 0002_1.pdf,Amendment / Modification Notice,"Detected Document Type: Amendment / Modification Notice

**Amendment Number:** 0002 (Relates to Solicitation 36C24926Q0031)

**Summary of Changes:**
This document serves as an amendment to the solicitation to provide answers to vendor questions (Q&A) and extend the deadline for offer receipt.

*   **Offer Due Date Extended:** The hour and date for receipt of Offers is extended to **November 5, 2025, 10:00 AM CST**.
*   **Submission Instructions:** Quotes are due by 10:00 AM CT November 5, 2025, to Elyse.McVey@va.gov.
*   **Period of Performance:** The start date is dependent on the contract award date, which will be as soon after the 11/5/2025 due date as possible and agreed upon.
*   **Key Q&A Clarifications:**
    *   Total fire extinguishers: 687.
    *   Servicing vs. Swapping: Servicing is the first option; new extinguishers will be swapped if required.
    *   Hydrostatic Testing: Can be performed by a subcontractor, even though the contractor must possess the facility.
    *   Inspections: Annual inspection is **still required** in addition to the 11 monthly inspections.
    *   Vehicle Extinguishers: Approximately 90 extinguishers are on vehicles at Nonconnah HPBC and Phelan sites. The COR will accompany the contractor to these two sites.
    *   Ansul Systems: Quarterly hood cleaning (inspecting/cleaning hoods, filters, traps, etc., and inspecting the suppression systems) is required for **eight (8)** Ansul systems. The cost should be included in one CLIN, billed monthly.
    *   Locations: The contract covers 5 buildings plus the Fisher House, including the main VAMC, Nonconnah HPBC, and Phelan Avenue VA Clinic.

**Effect on Proposal Requirements:**
Offerors must acknowledge receipt of this amendment. The proposal due date has been moved to November 5, 2025. Offerors must incorporate the clarifications provided in the Q&A section into their technical proposals and pricing structure (e.g., ensuring pricing covers 687 monthly inspections, annual inspections, and the quarterly cleaning/inspection of 8 Ansul systems).",gemini-flash-lite-latest,20251105-045210
https://sam.gov/workspace/contract/opp/bbb459c5726348fda8e970e2b2856543/view,bbb459c5726348fda8e970e2b2856543,36C24926Q0031_1.pdf,pdf,bbb459c5726348fda8e970e2b2856543/36C24926Q0031_1.pdf,Amendment / Modification Notice,"Detected Document Type: Amendment / Modification Notice

**Amendment Number:** Not explicitly numbered in the provided text, but it is an amendment to solicitation 36C24926Q0031.

**Summary of Changes:**
This document serves as a modification to the solicitation to provide answers to vendor questions and extend the due date.

*   **Offer Receipt Date Extended:** The hour and date specified for receipt of Offers is extended to **11-05-2025 10:00 AM CST**.
*   **Purpose:** To provide answers to questions asked by vendors.
*   **Quote Submission:** Quotes are due by 10:00 AM CT November 5, 2025, to Elyse.McVey@va.gov.
*   **Period of Performance Start Date:** The start date is dependent on the contract award date, following the 11/5/2025 due date.

**Effect on Proposal Requirements:**
The primary effect is the extension of the deadline. Offerors must acknowledge receipt of this amendment and ensure their revised or initial offers are received by the new deadline. The Q&A section provides critical clarifications that must be incorporated into the proposal pricing and technical approach.

---
**Key Clarifications from Q&A (Affecting Proposal Content):**

*   **Total Extinguishers:** 687 total extinguishers are present at the facility.
*   **Servicing vs. Swapping:** Servicing existing extinguishers is the first option; swapping for new ones is allowed if required.
*   **Hydrostatic Testing:** Subcontracting hydrostatic testing is permitted, even though the SOW requires the contractor to have their own facility.
*   **Inspections:** Monthly inspections are required (11 monthly inspections), and **Annual inspection is still required** (contrary to initial interpretation).
*   **Vehicle Extinguishers:** Approximately 90 extinguishers are on vehicles, located at Nonconnah HPBC and Phelan sites. The COR will accompany the contractor to these two sites.
*   **Ansul Systems (Hood Cleaning):** Quarterly cleaning is required for **8 Ansul systems** (not 10 or 11). This includes cleaning the hood, filters, and traps (""Both"").
*   **Pricing Structure:** The cost for the quarterly Ansul cleanings should be included in the main CLIN (CLIN 0001) and can be billed monthly in arrears, structured as 1 job instead of 11 months.
*   **Locations:** The contract covers 5 buildings plus the Fisher House, including the main VA Medical Center, Nonconnah HPBC, and Phelan Avenue VA Clinic.",gemini-flash-lite-latest,20251105-045210
